
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      196    0.008    0.000    0.484    0.002 gen_math_ops.py:2613(_sub)
        8    0.008    0.001    0.024    0.003 topology.py:1439(__init__)
    166/2    0.008    0.000    0.024    0.012 copy.py:253(_deepcopy_dict)
     2240    0.008    0.000    0.044    0.000 _methods.py:34(_prod)
     5060    0.008    0.000    0.008    0.000 ops.py:3233(_record_op_seen_by_control_dependencies)
      108    0.008    0.000    0.196    0.002 control_flow_ops.py:1600(_AddOpInternal)
      286    0.008    0.000    0.832    0.003 gen_math_ops.py:2634(_sum)
      220    0.008    0.000    0.008    0.000 :0(fromstring)
      166    0.008    0.000    1.252    0.008 tensorflow_backend.py:251(variable)
1436/1398    0.008    0.000    0.276    0.000 tensor_util.py:659(constant_value)
      400    0.008    0.000    0.012    0.000 op_def_library.py:159(_MakeStr)
      166    0.008    0.000    0.020    0.000 array_ops.py:873(_get_dtype_from_nested_lists)
      166    0.008    0.000    0.056    0.000 array_ops.py:894(_autopacking_conversion_function)
      292    0.008    0.000    5.236    0.018 gradients_impl.py:353(_MaybeCompile)
      968    0.008    0.000    0.140    0.000 fromnumeric.py:2786(mean)
     2546    0.008    0.000    0.008    0.000 ops.py:1438(__getitem__)
      542    0.008    0.000    0.020    0.000 tensor_util.py:89(SlowAppendIntArrayToTensorProto)
      816    0.008    0.000    0.008    0.000 control_flow_ops.py:1285(IsLoopExit)
       30    0.008    0.000    0.208    0.007 math_ops.py:1093(range)
     1070    0.008    0.000    0.020    0.000 tensor_util.py:137(GetFromNumpyDTypeDict)
       55    0.008    0.000    0.016    0.000 seeding.py:24(np_random)
        2    0.008    0.004    8.124    4.062 optimizers.py:380(get_updates)
       17    0.008    0.000    0.008    0.000 attrs.py:100(create)
       20    0.004    0.000    0.008    0.000 selections.py:27(select)
       70    0.004    0.000    0.004    0.000 :0(seed)
      330    0.004    0.000    0.800    0.002 gen_state_ops.py:21(assign)
      628    0.004    0.000    0.016    0.000 fromnumeric.py:357(repeat)
       51    0.004    0.000 1501.396   29.439 env_gym.py:140(_get_reward_from_agent)
       11    0.004    0.000    0.052    0.005 control_flow_ops.py:2712(group)
       52    0.004    0.000    0.172    0.003 gradients_impl.py:718(_MultiDeviceAddN)
      628    0.004    0.000    0.004    0.000 :0(repeat)
       52    0.004    0.000    0.020    0.000 agent_gym.py:14(__init__)
      146    0.004    0.000    0.004    0.000 discrete.py:17(contains)
     5364    0.004    0.000    0.004    0.000 ops.py:2098(_get_control_flow_context)
        6    0.004    0.001    0.068    0.011 nn_grad.py:363(_Conv2DGrad)
     5060    0.004    0.000    0.004    0.000 :0(exc_info)
       32    0.004    0.000    0.116    0.004 tensorflow_backend.py:1136(mean)
       60    0.004    0.000    0.012    0.000 ops.py:1336(_update_input)
      234    0.004    0.000    0.476    0.002 gen_math_ops.py:59(add)
       85    0.004    0.000    0.008    0.000 device.py:283(_device_function)
     2710    0.004    0.000    0.960    0.000 ops.py:586(convert_to_tensor)
      160    0.004    0.000    0.624    0.004 math_ops.py:834(r_binary_op_wrapper)
        2    0.004    0.002    0.032    0.016 topology.py:2230(get_config)
      206    0.004    0.000    0.004    0.000 topology.py:351(non_trainable_weights)
        2    0.004    0.002    0.304    0.152 tensorflow_backend.py:2003(batch_set_value)
       14    0.004    0.000    0.004    0.000 copy.py:234(_deepcopy_tuple)
      114    0.004    0.000    0.316    0.003 control_flow_ops.py:275(switch)
      265    0.004    0.000    0.004    0.000 ops.py:3187(_pop_control_dependencies_controller)
       28    0.004    0.000    1.492    0.053 topology.py:2333(process_layer)
       24    0.004    0.000    0.252    0.011 tensorflow_backend.py:775(moving_average_update)
      826    0.004    0.000    0.008    0.000 topology.py:2617(_to_list)
      166    0.004    0.000    0.472    0.003 gen_state_ops.py:684(_variable_v2)
       13    0.004    0.000    0.004    0.000 _weakrefset.py:52(_commit_removals)
      265    0.004    0.000    0.004    0.000 ops.py:3157(__enter__)
       53    0.004    0.000    0.004    0.000 weakref.py:282(__init__)
       56    0.004    0.000    0.016    0.000 topology.py:606(_add_inbound_node)
       80    0.004    0.000    0.008    0.000 tensorflow_backend.py:705(count_params)
       24    0.004    0.000    0.584    0.024 nn_impl.py:726(batch_normalization)
      220    0.004    0.000    0.004    0.000 tensor_shape.py:462(__len__)
       24    0.004    0.000    0.048    0.002 state_ops.py:187(assign_sub)
      180    0.004    0.000    0.176    0.001 control_flow_ops.py:1573(AddValue)
       62    0.004    0.000    1.488    0.024 math_grad.py:614(_MulGrad)
       77    0.004    0.000    0.004    0.000 :0(print)
      706    0.004    0.000    0.904    0.001 constant_op.py:110(_constant_tensor_conversion_function)
   144/10    0.004    0.000    0.008    0.001 topology.py:1593(build_map_of_graph)
      478    0.004    0.000    0.048    0.000 tensor_shape.py:774(__eq__)
        2    0.004    0.002    0.464    0.232 util.py:36(get_soft_target_model_updates)
       12    0.004    0.000    0.040    0.003 nn_ops.py:646(op)
      584    0.004    0.000    0.004    0.000 ops.py:2728(_original_op)
      296    0.004    0.000    1.084    0.004 variables.py:665(_run_op)
      801    0.004    0.000    0.008    0.000 ops.py:476(__eq__)
       34    0.004    0.000    0.080    0.002 math_ops.py:1002(floordiv)
  462/264    0.004    0.000    0.004    0.000 tensor_util.py:267(_FilterNotTensor)
       72    0.004    0.000    0.004    0.000 topology.py:111(__init__)
      265    0.004    0.000    0.004    0.000 ops.py:3123(__init__)
      280    0.004    0.000    0.004    0.000 math_ops.py:1902(<genexpr>)
       24    0.004    0.000    0.044    0.002 gen_math_ops.py:787(_floor_mod)
       40    0.004    0.000    0.116    0.003 variables.py:499(assign)
       18    0.004    0.000    0.268    0.015 random_ops.py:182(random_uniform)
       52    0.004    0.000    0.028    0.001 gradients_impl.py:692(_AccumulatorShape)
       12    0.004    0.000    0.600    0.050 control_flow_ops.py:1673(cond)
       28    0.004    0.000    0.588    0.021 math_grad.py:592(_AddGrad)
     2450    0.004    0.000    0.004    0.000 :0(WhichOneof)
        2    0.004    0.002    0.004    0.002 core.py:854(get_config)
       24    0.004    0.000    0.004    0.000 control_flow_ops.py:1411(Exit)
      356    0.004    0.000    1.324    0.004 gen_array_ops.py:2440(reshape)
      330    0.004    0.000    0.804    0.002 state_ops.py:243(assign)
      352    0.004    0.000    0.004    0.000 gradients_impl.py:672(_GetGrads)
